2025-08-16 17:56:53 | INFO     | voice_assistant.database | old_websocket_endpoint:1529 | Looking up call session in database by CallSid: c700555d8fda9a8b4fbc81a41011198g
2025-08-16 17:56:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1546 | ✅ Found customer in database: Kushal
2025-08-16 18:03:06 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:05:57 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:13:27 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:19:13 | INFO     | voice_assistant.database | handle_passthru:650 | ✍️ Passthru: Updating database for CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:15 | INFO     | voice_assistant.database | handle_passthru:660 | ✅ Passthru: Database updated successfully for CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:15 | INFO     | voice_assistant.database | old_websocket_endpoint:1544 | Looking up customer data by CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:15 | INFO     | voice_assistant.database | old_websocket_endpoint:1561 | Looking up call session in database by CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:16 | INFO     | voice_assistant.database | old_websocket_endpoint:1578 | ✅ Found customer in database: Kushal
2025-08-16 18:37:29 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:57:55 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 21:58:42 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:58:49 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:58:58 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:02 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:11 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:15 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:25 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:44 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 22:02:58 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 22:51:30 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 22:53:19 | INFO     | voice_assistant.database | handle_passthru:650 | ✍️ Passthru: Updating database for CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:21 | INFO     | voice_assistant.database | handle_passthru:660 | ✅ Passthru: Database updated successfully for CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:21 | INFO     | voice_assistant.database | old_websocket_endpoint:1544 | Looking up customer data by CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:21 | INFO     | voice_assistant.database | old_websocket_endpoint:1561 | Looking up call session in database by CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:23 | INFO     | voice_assistant.database | old_websocket_endpoint:1578 | ✅ Found customer in database: Kushal
2025-08-16 22:55:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 22:56:31 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:01:24 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:02:38 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:09:06 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:09:44 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:09:54 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:14:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:26:15 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:26:57 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:28:30 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:32:07 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:33:01 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:35:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:39:18 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:42:47 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:46:16 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:49:29 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:50:44 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:52:04 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 12:12:02 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 12:40:45 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 12:43:59 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:06:28 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:11:04 | INFO     | voice_assistant.database | handle_passthru:517 | ✍️ Passthru: Updating database for CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:06 | INFO     | voice_assistant.database | handle_passthru:527 | ✅ Passthru: Database updated successfully for CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:06 | INFO     | voice_assistant.database | old_websocket_endpoint:1239 | Looking up customer data by CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:06 | INFO     | voice_assistant.database | old_websocket_endpoint:1256 | Looking up call session in database by CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:07 | INFO     | voice_assistant.database | old_websocket_endpoint:1273 | ✅ Found customer in database: Kushal
2025-08-17 13:15:52 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:16:31 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:20:54 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:32:50 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:33:24 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:33:58 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:34:13 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:40:08 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:41:22 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:42:23 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:43:15 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:45:01 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:46:41 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:46:52 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:47:03 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:18 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:40 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:55:03 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:55:13 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:55:53 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 14:43:06 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-17 15:08:38 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-17 18:47:52 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 18:52:34 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:21:53 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:22:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:23:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:39:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:40:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:41:09 | INFO     | voice_assistant.database | handle_passthru:599 | ✍️ Passthru: Updating database for CallSid: d16578ccec5608db38825a8a046e198i
2025-08-18 03:41:10 | INFO     | voice_assistant.database | handle_passthru:609 | ✅ Passthru: Database updated successfully for CallSid: d16578ccec5608db38825a8a046e198i
